time,scramble
17.20,B' D2 L' D2 F2 U' B2 R' U2 F' R2 F' D2 R2 B R2 L2 B2 R2 B Fw' 
15.26,B2 L' F2 U2 R D2 L' B2 L U2 L' F2 D' L' F U' B F2 R2 U' F2 Fw Uw2 
16.18,F' U2 F' D2 U2 B' D2 U2 R2 B L' U B2 R F D2 U L D U Rw2 Uw2 
17.61,U R D2 B' U D2 F D' R' U2 L2 F2 D2 B2 R' U2 R' B2 D2 L' Fw' Uw2 
17.44,B D2 R' F2 L U' L' F' R2 L' F2 R B2 R U2 D2 B2 R U2 D' 
DNF(1.65),R2 B2 D F2 R2 D' B2 U2 L2 U' L B2 F R' D2 B' F D U2 R2 Rw2 Uw 
DNF(16.79),U F' R' U' B R U' D' F' R F2 L2 B2 L U2 L B2 D2 B2 Rw' 
16.52,U D R L2 U R' L F2 U2 B' L2 B D2 B U2 F D2 F' D' Rw2 Uw 
19.60,L2 F2 L2 D R2 U F2 L2 B2 U' R2 U' R' B' L2 B D2 U' F2 D F Rw' 
DNF(1.87),L2 D2 U F2 L2 F D2 B2 D2 B' D2 U2 R' B U L2 B' F L' R2 Rw2 Uw2 
18.46,F2 U' F2 U R2 F2 D2 F2 D' L2 D' B D' U2 B2 U F' L' R2 B2 R2 Rw Uw' 
15.63,L' F2 R U2 L' F2 R F2 R2 B2 D2 R2 B' L F' R' D U2 L B' R' Fw' Uw' 
13.65,D L2 B2 D2 R2 F2 R F' L2 F2 U' B2 L2 D R2 U' B2 L2 U' L2 Rw2 Uw 
DNF(14.21),U' F R' D R2 F2 U L2 R2 U2 R2 U B' R2 U2 L F' R' B Fw 
DNF(16.23),L U2 F B2 U' L2 R2 F2 D' F2 R2 U B2 U' R' B' L2 U' F2 D F Rw Uw 
14.34,B2 D B2 U' B2 D L2 B2 U' R2 U2 L' F' R2 U L2 U2 L B' R F' Fw Uw' 
DNF(0.08),D' B2 D' R2 U L2 F2 D' F2 U' F2 L D U B' L2 F2 D2 R B D Rw' Uw' 
DNF(0.08),B R2 D2 L2 U2 B F D2 F' L2 D' R' U2 L F' U' B2 R F' R Fw 
16.88,U L2 U2 F L2 B2 F' R2 U2 B U2 B' L' D R2 U F2 D' B2 D2 Uw' 
15.50,B R2 U2 B2 F' R2 U2 B F2 L2 U2 F2 D' R' D U L' F2 L U' F Rw2 Uw' 
DNF(19.09),F D F2 U B2 R2 F2 R2 D2 R2 U' L F L' R' B' U L2 R' U2 Rw2 
DNF(0.08),D R' F L2 R2 B2 U B2 U' R2 B2 R2 U2 B R F L2 D2 U L Rw Uw' 
15.91,U L' R2 B2 F2 D B2 L2 D2 L2 D L2 U L D2 R F L2 D U2 B2 Rw2 Uw2 
DNF(0.08),D2 R2 F2 U' B2 U2 B2 R2 D' F2 R2 D L B R' B2 L' F2 D U2 L Fw' 
DNF(0.03),B D2 B2 R2 B2 F2 U B2 D' B2 U F2 R' B2 F' D' L F U F2 D' Fw Uw2 
DNF(0.09),D2 R2 U2 B U2 R2 U2 F2 U2 F' U2 D' B R' D2 B2 U2 B' R2 B' Fw Uw2 
DNF(0.08),R' U R2 L F D F2 R F2 D2 F U2 B' L2 D2 L2 D2 B2 R2 D Rw Uw2 
DNF(14.93),L2 D' R2 B R2 F' D2 F L2 D2 L2 B' D2 F' R' U' L2 R2 B L' Rw2 Uw' 
DNF(0.08),F L2 U2 R2 U2 F' R2 F' D2 R2 D F2 U B2 F' U R U' B' Rw' Uw 
